datetime,open,high,low,close,volume,interest
2021-09-11 00:00:00,18.039,18.546,17.791,18.285,7837173.477242,0
2021-09-12 00:00:00,18.285,18.91,17.9,18.673,6476250.35134,0
2021-09-13 00:00:00,18.673,19.098,17.426,17.833,13942887.851257,0
2021-09-14 00:00:00,17.831,18.608,17.599,18.572,8816003.628488,0
2021-09-15 00:00:00,18.572,19.121,18.367,18.945,6108771.984562,0
2021-09-16 00:00:00,18.946,19.42,18.444,18.626,5591438.536665,0
2021-09-17 00:00:00,18.627,19.002,18.287,18.587,6717480.659663,0
2021-09-18 00:00:00,18.587,19.224,18.442,18.962,6203404.019818,0
2021-09-19 00:00:00,18.962,19.006,18.207,18.502,5457236.93153,0
2021-09-20 00:00:00,18.503,18.596,16.413,17.238,9994969.443877,0
2021-09-21 00:00:00,17.238,17.379,16,17.129,11755434.619726,0
2021-09-22 00:00:00,17.13,17.183,16.02,16.848,13717547.357622,0
2021-09-23 00:00:00,16.849,17.459,16.712,16.923,11881670.631811,0
2021-09-24 00:00:00,16.924,17.239,13.362,14.071,17936777.828239,0
2021-09-25 00:00:00,14.071,14.333,12.21,12.764,22250691.291882,0
2021-09-26 00:00:00,12.759,14.97,9.5,13.501,42435214.877025,0
2021-09-27 00:00:00,13.499,15.38,12.519,14.599,38881231.186487,0
2021-09-28 00:00:00,14.6,17.795,13.97,15.836,38160568.852456,0
2021-09-29 00:00:00,15.837,16.88,15.3,16.031,25737966.312956,0
2021-09-30 00:00:00,16.03,16.734,15.221,15.416,21567099.181597,0
2021-10-01 00:00:00,15.416,16.65,15.3,16.529,17632207.927948,0
2021-10-02 00:00:00,16.527,18.666,16.365,18.354,18284736.74113,0
2021-10-03 00:00:00,18.354,18.7,17.301,17.98,12267511.820128,0
2021-10-04 00:00:00,17.981,18.297,17.066,17.368,12470316.815311,0
2021-10-05 00:00:00,17.369,18.26,17.263,17.385,17552464.70562,0
2021-10-06 00:00:00,17.383,18.066,16.336,17.634,13257307.367858,0
2021-10-07 00:00:00,17.633,18.5,16.618,17.7,17788489.131827,0
